,rawKAC,permutationScore
CLK1,-536.267898518922,0
CLK4,-618.096088737831,0
PAK1,-1543.41898579495,0
CK2a2,-1682.08376640702,0.1
CK2alpha,-4289.37811603617,0.2
ICK,-94.4465113834353,0.8
NEK3,-16.8211387179412,1
RSK3,-252.752230042075,1
IKKbeta,-171.968865448047,1.1
PLK1,-809.875989264462,1.3
CK1alpha,-1762.35816299274,1.7
MAP2K3,-77.133215448926,2.2
IKKalpha,-171.921472993523,3
CDK7,-178.917324773737,3.1
MAK,-113.958391343957,3.4
NEK2,-190.129148245451,3.6
CLK2,-128.806337123378,4
NEK4,-20.1502358605984,4
CaMKIIalpha,-1195.8649011941,4.7
PAK2,-583.896051492124,4.9
HIPK2,-397.561906639616,5.2
CLK3,-110.311974047405,5.5
HIPK1,-31.0709966615251,5.5
EIF2AK2,-136.201285807478,5.6
MAPKAPK3,-109.826145833194,6
PKBalpha,-722.222120498717,7.6
MAPK7,-170.338765520443,8.3
NEK1,-168.343146514452,8.9
PKAalpha,-431.512798919943,8.9
MAPK11,-334.693632715491,9
MAPKAPK5,-230.266887329676,9.6
AuroraC,-7.00042579595037,9.8
ATM,-513.414785167313,10.4
AuroraA,-256.38995755565,10.4
PKD1,-185.902756931983,10.6
AMPKa2,-185.916000581076,11.5
p70S6K,-63.2072448869344,11.5
PKCiota,-371.401306934087,12.2
PAK5,-115.208888304475,12.9
PAK6,-102.201663960533,13
CK1epsilon,-192.600288622778,13.6
GRK5,-142.657482325587,13.7
DAPK2,-1.1954865534775,14
MAP2K5,-68.0426174949668,14.1
AMPKa1,-151.41732956855,14.3
Pim3,-24.1436479224462,14.8
RSK2,-166.630232300982,15
Pim2,-22.5353186545507,16.2
CDK4,-127.645323145336,18
PAK4,-188.837763842696,18.6
PKBbeta,-127.075542698351,18.7
LKB1,-34.8953410829174,20.4
NLK,-149.656792923245,21.8
CaMKIalpha,-39.4778377478466,21.9
MAP2K6,-136.184277859332,21.9
PKCtheta,-285.810145440115,23
CK1gamma1,-73.7619463584902,23.6
PAK3,-210.206142567632,24.5
DNAPK,-440.045208908779,25.6
PKBgamma,-100.588019887452,25.8
GRK7,-42.7016301746196,26.3
PKCeta,-201.258595707218,31.8
PKCbeta,-728.499506028472,31.9
MAPK14,-40.9119905330198,32.6
GRK1,-49.2379965224111,32.9
DAPK1,-126.704572818125,33.2
Chak2,-22.6862769523719,34.2
DMPK1,-163.142045156615,35.8
MOK,-71.5392744713842,36.2
CK1gamma3,-14.4184521885652,37.2
MAP4K6,-23.5881944983512,38.2
ROCK2,-172.581584395726,38.9
PLK4,-114.20729030291,39
p70S6Kb,-9.47271634664041,39.1
Pim1,-70.8700055387541,39.9
DAPK3,-290.969864514254,41.5
Haspin,-1.0312754037966,44
TTK,-165.722539858837,45.6
PLK2,-23.2624034794533,45.8
CK1gamma2,-26.3423816064329,45.9
CaMKIV,-187.471244063562,47.6
GSK3beta,-1455.71030400736,48.6
