,rawKAC,permutationScore
CLK4,-601.802455532503,0
CLK1,-501.833470564841,0.3
CK2alpha,-4130.66679080355,0.5
CK2a2,-1429.36322626904,0.6
HIPK2,-380.997776771946,1.1
RSK3,-243.923898064274,1.1
IKKbeta,-171.968865448047,1.2
RSK2,-166.935346513576,1.4
PLK1,-735.915754998064,1.5
MAP2K3,-68.325143638881,1.7
CK1alpha,-1491.68254711333,2
PAK1,-1267.69920235128,2.6
NEK2,-183.262717801228,2.9
CDK7,-176.821124246833,3.4
AuroraA,-228.930456561311,4
HIPK1,-31.0709966615251,4
MAPK11,-303.961471938809,4
ICK,-78.4832201851594,4.3
IKKalpha,-170.153732973475,4.6
CaMKIIalpha,-1041.851063882,5.1
PAK2,-556.779218492838,5.2
MAK,-101.892368265188,5.8
MAPKAPK3,-108.814758249005,7.1
MAPK7,-169.251258744943,7.4
ATM,-508.573213201091,8.6
CLK2,-114.262020038627,8.9
PKBalpha,-669.88388902268,9.1
MAPKAPK5,-229.468939532733,9.2
MAP2K5,-66.269145867597,10.2
EIF2AK2,-109.048291560725,10.9
GRK5,-133.933313463391,11.2
CLK3,-95.9054298607807,11.3
AMPKa2,-185.431069627465,11.4
AuroraC,-7.00042579595037,11.5
PKD1,-184.053845398684,13.6
p70S6K,-63.2072448869344,13.8
PAK5,-108.868088296445,13.9
GSK3beta,-1406.85012299579,14.3
AMPKa1,-150.527918818537,14.5
PAK6,-96.5148318397937,14.7
DAPK2,-1.1954865534775,14.9
Pim3,-23.1779426600504,16.5
CK1epsilon,-187.679083229343,16.6
NEK1,-140.538255533138,18.6
Pim2,-22.5353186545507,19
CDK4,-127.645323145336,19.1
CK1gamma1,-74.5284053469872,19.2
MAP2K6,-102.500239581531,21.6
PKBbeta,-120.219309953438,22.8
LKB1,-34.8953410829174,22.9
PKCiota,-343.195494642461,23.1
CaMKIalpha,-39.4778377478466,23.5
PAK4,-149.31695314585,24.1
PKD2,-1.43988058801083,24.4
