"","kinase_id","freq"
"1","Abl",2
"2","Abl2",23
"3","ACTR2",82
"4","ACTR2B",71
"5","AMPKa1",10
"6","AMPKa2",32
"7","ARAF",67
"8","ATM",37
"9","ATR",18
"10","AuroraA",65
"11","AuroraB",45
"12","AuroraC",2
"13","BCKDK",9
"14","BLK",23
"15","BMX",23
"16","Brk",23
"17","BTK",23
"18","CaMKIalpha",6
"19","CaMKIdelta",6
"20","CaMKIIalpha",498
"21","CaMKIIbeta",98
"22","CaMKIIdelta",62
"23","CaMKIIgamma",59
"24","CaMKIV",76
"25","CDK1",491
"26","CDK2",256
"27","CDK3",243
"28","CDK4",29
"29","CDK5",140
"30","CDK6",49
"31","CDK7",54
"32","Chak2",12
"33","CK1alpha",753
"34","CK1alpha2",29
"35","CK1delta",96
"36","CK1epsilon",73
"37","CK1gamma1",43
"38","CK1gamma2",21
"39","CK1gamma3",13
"40","CK2a2",673
"41","CK2alpha",389
"42","CLK1",301
"43","CLK2",188
"44","CLK3",166
"45","CLK4",182
"46","DAPK1",19
"47","DAPK2",1
"48","DAPK3",223
"49","DMPK1",71
"50","DMPK2",2
"51","DNAPK",78
"52","EGFR",6
"53","EIF2AK2",28
"54","EphA1",3
"55","EphA2",5
"56","EphA3",3
"57","EphA4",4
"58","EphA5",2
"59","EphA6",2
"60","EphA7",2
"61","EphB1",3
"62","EphB2",4
"63","EphB3",4
"64","EphB4",3
"65","ErbB2",5
"66","ErbB3",1
"67","ErbB4",3
"68","Fgr",23
"69","FRK",9
"70","Fyn",23
"71","GRK1",13
"72","GRK2",126
"73","GRK3",23
"74","GRK4",7
"75","GRK5",31
"76","GRK6",23
"77","GRK7",8
"78","GSK3alpha",103
"79","GSK3beta",184
"80","HCK",23
"81","HIPK1",14
"82","HIPK2",133
"83","ICK",107
"84","IGF1R",3
"85","IKKalpha",36
"86","IKKbeta",41
"87","InsR",2
"88","ITK",23
"89","Kit",1
"90","Lck",23
"91","LKB1",11
"92","Lyn",23
"93","MAK",79
"94","MAP2K1",79
"95","MAP2K2",24
"96","MAP2K3",21
"97","MAP2K4",42
"98","MAP2K5",20
"99","MAP2K6",49
"100","MAP2K7",19
"101","MAP4K4",3
"102","MAP4K6",1
"103","MAPK1",403
"104","MAPK10",22
"105","MAPK11",220
"106","MAPK12",96
"107","MAPK13",64
"108","MAPK14",44
"109","MAPK3",715
"110","MAPK7",36
"111","MAPK8",106
"112","MAPK9",18
"113","MAPKAPK3",16
"114","MAPKAPK5",28
"115","MARK1",22
"116","MARK3",23
"117","MARK4",51
"118","Met",5
"119","MOK",99
"120","MRCKa",77
"121","MRCKb",3
"122","MST2",3
"123","MST3",5
"124","MST4",4
"125","NEK1",22
"126","NEK2",49
"127","NEK4",5
"128","NLK",137
"129","NRK",1
"130","p70S6K",28
"131","p70S6Kb",9
"132","PAK1",777
"133","PAK2",151
"134","PAK3",97
"135","PAK4",109
"136","PAK5",66
"137","PAK6",65
"138","PDGFRalpha",1
"139","PDHK1",85
"140","PDHK2",17
"141","PDHK3",10
"142","PDHK4",23
"143","Pim1",36
"144","Pim2",15
"145","Pim3",14
"146","PKAalpha",186
"147","PKAbeta",108
"148","PKAgamma",105
"149","PKBalpha",232
"150","PKBbeta",120
"151","PKBgamma",115
"152","PKCalpha",352
"153","PKCbeta",372
"154","PKCdelta",237
"155","PKCepsilon",64
"156","PKCeta",81
"157","PKCgamma",131
"158","PKCiota",135
"159","PKCtheta",120
"160","PKCzeta",279
"161","PKD1",26
"162","PKD2",2
"163","PKD3",2
"164","PKG1cGKI",114
"165","PKG2cGKII",93
"166","PLK1",71
"167","PLK2",17
"168","PLK4",65
"169","RAF1",229
"170","ROCK1",201
"171","ROCK2",40
"172","RSK2",69
"173","RSK3",52
"174","SGK1",56
"175","SGK2",3
"176","SGK3",6
"177","SLK",1
"178","Src",9
"179","Srm",23
"180","Tec",23
"181","TGFbR2",234
"182","TLK1",7
"183","TLK2",6
"184","TNIK",4
"185","TTK",87
"186","TXK",23
"187","Tyk2",1
"188","Yes",23
"189","YSK1",4
