,rawKAC,permutationScore
CaMKIIalpha,-102.731781772037,0
Met,-21.5613526107598,0
PAK1,-167.701312042503,0
PKCalpha,-94.0830536593356,0
PKCbeta,-66.8969685435814,0
DMPK1,-77.9738410181058,0.2
PKCzeta,-57.4880999347375,0.2
PKCdelta,-53.5955299514187,0.3
PKBalpha,-224.89539095267,0.4
PKAalpha,-51.9950310259936,0.5
IGF1R,-7.23107807286337,0.8
MAPK8,-65.812179064862,1
PKBgamma,-29.0537556702559,1
p70S6K,-80.1672726094613,1.1
PAK3,-63.7970056886721,1.1
InsR,-19.2716948666029,1.2
MAP2K1,-151.782633663973,1.3
PKD1,-72.6656507665559,1.3
TTK,-51.9606551271504,1.5
EphA1,-3.079567541614,1.6
EphB1,-3.90144946963754,1.6
DAPK2,-1.46238741119805,1.7
EphB4,-3.01537101363332,1.7
Chak2,-19.500122286735,1.8
Src,-13.7823159981217,1.8
CaMKIIbeta,-44.8049769188206,1.9
EphA4,-3.56468406198904,1.9
PKCepsilon,-62.112542139323,2
EphB2,-3.8849812247347,2.1
Lck,-12.472288432993,2.3
CaMKIIgamma,-39.0051278327374,2.4
PKBbeta,-82.3429244532118,2.4
EGFR,-35.3506018927496,2.6
RSK2,-26.4281707185638,2.7
MAPK10,-50.1129611632532,2.8
NRK,-1.54689546915566,2.8
EphB3,-3.37288734095426,2.9
ROCK2,-80.2727771141763,3
EphA5,-2.21546545339601,3.1
EphA6,-2.22147961139641,3.1
EphA7,-2.20982718027064,3.1
Fyn,-10.0981841846435,3.1
PKCgamma,-57.3566444587348,3.1
EphA3,-2.70579844021493,3.5
ErbB2,-47.9754119822171,3.7
Abl2,-7.60450374990651,4.1
BMX,-7.85459086017838,4.1
CaMKIIdelta,-26.6792624483065,4.1
HCK,-9.11383860726293,4.1
ITK,-7.85459086017838,4.1
MAP2K2,-83.0156564795968,4.1
Srm,-7.82978720493215,4.1
Tec,-7.85459086017838,4.1
TXK,-7.85459086017838,4.1
Lyn,-8.68772625841779,4.3
ROCK1,-24.1321145420705,4.3
Brk,-7.75480807827878,4.4
PKAbeta,-31.5538227737519,4.6
CK1epsilon,-22.0987827580172,4.9
PKAgamma,-39.8900606024987,5.1
BLK,-8.42253685152379,5.3
BTK,-6.62135292362345,6.1
PAK6,-17.0817452905696,6.3
PAK2,-79.1496715806701,6.6
Abl,-2.32961697911362,7
p70S6Kb,-23.3426964251555,7.5
MAPKAPK5,-50.5811238246486,7.7
PAK5,-14.9310150483599,7.8
Yes,-6.32138724781675,8.5
MAPK9,-20.6483180773382,9.1
MAPKAPK3,-18.8444469119841,9.2
PKG1cGKI,-14.5230104961285,9.6
FRK,-3.12924611725938,10.1
PKG2cGKII,-14.5556347431728,10.3
Fgr,-6.34278746808792,11.5
MST2,-2.12453229641974,11.5
PKCeta,-23.7985337563964,13.1
ErbB3,-28.7782329801166,15
Kit,-0.619139741129664,15
PDGFRalpha,-0.623604401122219,15
PDHK3,-10.891203242859,16
PDHK2,-13.5716916824198,16.2
YSK1,-1.79830037282917,16.9
AuroraC,-2.15249905021655,17.9
Pim3,-3.10784220981362,17.9
Pim2,-2.64059559263063,18.2
AuroraA,-31.2033255724051,19.1
ErbB4,-6.6084335218924,21.2
PDHK4,-7.71469186130343,21.4
RAF1,-20.4062305738958,21.4
AuroraB,-11.819449351335,23.9
CK1alpha2,-3.06174967046292,24.5
MAP2K6,-10.8343411347488,25.9
AMPKa2,-18.0535336521616,26.2
MAP2K3,-4.84317722110391,26.2
MST4,-1.57399059141523,26.4
GSK3beta,-8.85510124903435,26.7
GRK2,-6.49154747776577,27.1
PLK4,-4.37329658081638,29.4
PKCtheta,-4.56217092977575,30
EphA2,-1.23132897818548,30.9
CK1gamma1,-1.43860432233515,31.5
MAP4K4,-1.20930737252478,31.6
DMPK2,-10.5927133641807,31.9
PDHK1,-11.3443531053981,32.6
GSK3alpha,0.416479743197174,33.6
PAK4,-2.63293861503221,33.7
CaMKIV,0.366168345223715,33.8
CK1delta,0.627887774266735,34.2
DNAPK,-5.00786419181597,34.9
PKCiota,-1.11591378597371,35.1
PLK1,-8.95634294977399,36
MRCKa,0.927511185154327,36.4
AMPKa1,-9.09215919561571,37
NEK2,-0.0960783667519966,37.2
CK1gamma3,-0.203301097345371,37.8
MAP2K4,0.0567975417372995,38.1
CaMKIdelta,0.203349742415052,39.4
HIPK1,-0.2036609838043,39.4
CDK5,4.65502070118692,40
NEK1,0.0271752442949949,40.6
MARK1,0.388002393795482,40.7
ATM,-14.1697194688638,42.4
MST3,0.0411954047822319,42.7
ATR,1.16222310889691,46
Pim1,2.19058394195294,47
MAPK1,44.9980342334222,47.6
ARAF,5.66350031919413,48.1
MAPK11,18.335357190981,48.4
DAPK3,13.3773486175812,49
NEK4,0.682712565787926,50.2
LKB1,6.47120175351679,53.9
MAP2K7,3.01181760965771,54.6
MAPK7,17.8220403033387,58.8
HIPK2,30.2892319536627,58.9
MRCKb,3.52806838162448,59
SGK1,13.7056123681316,59.9
SGK2,1.3030847211344,60.7
BCKDK,15.0755332865907,62.6
MOK,6.62105020816971,62.9
MAPK12,15.8854970057767,63.4
PLK2,3.16271100151672,63.6
MAP2K5,5.01302962938879,67.2
CDK7,21.7220155220227,70
CDK6,10.9439023440797,70.1
ICK,10.396569422956,70.6
RSK3,25.0732531846762,70.7
NLK,15.811137288401,72.9
GRK1,11.3154924146538,74.2
MAPK14,10.3012367378012,74.2
GRK5,11.807173238152,74.4
MARK4,20.6810721256721,74.7
SGK3,3.01293523661178,74.9
CK1gamma2,7.94264962059204,75
GRK7,8.94192230175366,75
MAK,10.0088168408161,76.6
CDK4,33.9308683566605,77.4
TGFbR2,35.9607693036523,78.3
CaMKIalpha,7.08476029599649,79.9
ACTR2B,8.75036692206291,81.7
TNIK,6.82276927554676,82.7
Tyk2,0.948208869456426,83.1
SLK,0.507196039829194,83.3
PKD3,1.9872765803849,84.2
GRK3,15.2656608942606,84.3
MARK3,16.8108555819302,85.2
MAP4K6,0.585580095011041,85.8
GRK6,14.6621251669988,87.6
MAPK13,30.6044342571263,88.4
CDK1,265.494549364883,89.6
TLK1,5.26134120255303,90.9
GRK4,13.1162022982972,93.4
CK1alpha,173.824285285544,95.4
PKD2,5.41903882341341,96.1
IKKalpha,65.3075026802972,96.6
MAPK3,233.381188464753,96.6
TLK2,10.0731225410384,97
IKKbeta,46.2320789096507,97.9
DAPK1,8.05772417420128,98.1
CDK2,237.063041390598,99
ACTR2,23.4658887406412,99.1
CLK2,26.7916297538147,99.3
CK2a2,221.213793129736,99.5
CK2alpha,734.357884191489,99.7
CLK3,25.4678500587119,99.7
CLK4,32.179500339364,99.9
EIF2AK2,62.2507904298961,99.9
CDK3,58.2357826135094,100
CLK1,130.883772490024,100
