,rawKAC,permutationScore
CaMKIIalpha,-105.71256539637,0
DMPK1,-78.2490786855799,0
EphA3,-2.70579844021493,0
EphA4,-3.56468406198904,0
EphA5,-2.21546545339601,0
EphA6,-2.22147961139641,0
EphA7,-2.20982718027064,0
IGF1R,-7.23107807286337,0
MAPK8,-60.4351129906225,0
Met,-21.5613526107598,0
p70S6K,-80.1672726094613,0
PAK1,-160.599737782031,0
PKCalpha,-95.633316810044,0
PKCbeta,-68.3325243972936,0
PKCdelta,-58.7726269817883,0
PKCzeta,-59.4242137472363,0
Src,-13.6681042575368,0
TTK,-52.8641109140395,0
CaMKIIbeta,-44.8533787255598,0.1
CaMKIIgamma,-41.8214433234782,0.1
DAPK2,-1.46238741119805,0.1
EphA1,-3.079567541614,0.1
EphA2,-3.76733424464544,0.1
EphB2,-3.8849812247347,0.1
EphB4,-3.01537101363332,0.1
MAP2K1,-148.975739266803,0.1
PAK3,-59.2076427554529,0.1
PKBgamma,-29.5410618070932,0.1
PKCepsilon,-61.1321037347469,0.1
ROCK1,-29.8230683196007,0.1
EphB1,-3.90144946963754,0.2
InsR,-19.2716948666029,0.2
PKAalpha,-47.6731526088763,0.2
PKBalpha,-222.799450717234,0.2
PKD1,-57.5862162684067,0.2
ROCK2,-88.6181787041335,0.2
EphB3,-3.37288734095426,0.3
PKBbeta,-82.9212950634453,0.3
Chak2,-19.500122286735,0.5
EGFR,-35.3506018927496,0.5
PKCgamma,-52.5589760775797,0.5
PKG1cGKI,-19.6035181978794,0.5
CK1epsilon,-21.0133827660287,0.7
CaMKIIdelta,-27.4441777971419,0.8
ErbB2,-47.9754119822171,0.8
RSK2,-19.7919244635101,0.8
PKG2cGKII,-13.4129774593614,1
MAPK10,-50.1129611632532,1.1
PKAbeta,-27.0253275036496,1.2
PKAgamma,-36.312271324855,1.2
MAP2K2,-83.7110440828146,1.3
PAK2,-85.320504819419,1.3
NRK,-1.54689546915566,1.4
PAK6,-15.1548466548132,2.1
Abl,-2.32961697911362,2.4
PAK5,-12.9946723201677,2.9
Lck,-6.17112806318581,3.1
MAPK9,-20.6483180773382,3.6
p70S6Kb,-23.3426964251555,3.6
RAF1,-27.9907019803315,3.6
MAPKAPK5,-49.4392741932905,3.9
MAPKAPK3,-17.741643734959,4.2
PKCeta,-23.1017584342991,4.2
GRK2,-16.8387714372829,5.2
MST2,-2.12453229641974,5.8
Pim2,-2.64059559263063,7.9
Fyn,-3.79702381483623,8.2
AuroraA,-25.0684408115177,9
MAP2K7,-5.33236532510381,9.1
DNAPK,-27.0369470398054,9.6
ErbB3,-28.7782329801166,9.6
Kit,-0.619139741129664,9.6
PDGFRalpha,-0.623604401122219,9.6
PDHK2,-13.5716916824198,10.1
PKCtheta,-5.52087408306276,10.2
GSK3beta,-5.13328373336225,10.3
PLK4,-7.08118216911761,10.5
PDHK3,-10.891203242859,10.7
BMX,-2.41113335812843,10.8
HCK,-2.8126782374557,10.8
ITK,-2.41113335812843,10.8
Pim3,-2.32401233393447,10.8
Srm,-2.4318809208666,10.8
Tec,-2.41113335812843,10.8
TXK,-2.41113335812843,10.8
Brk,-2.428052991078,11
Abl2,-2.29872474261761,11.3
GSK3alpha,-3.35726514806814,11.6
MAP2K6,-10.5964644287006,11.9
Lyn,-2.38656588861056,12.4
MAP2K3,-5.88414669646346,12.6
AMPKa2,-18.0535336521616,12.9
AuroraC,-2.15249905021655,13
PKCiota,-3.42839771249657,13
CK1alpha2,-3.06174967046292,13.1
YSK1,-1.79830037282917,13.3
AuroraB,-10.4984712738833,13.8
PAK4,-3.89308139113726,13.8
BLK,-2.12137648171656,13.9
PDHK4,-7.97656244486505,14.7
ErbB4,-6.6084335218924,15.8
MAPK1,42.7983658233081,16.1
BTK,-1.1778954215735,16.4
MRCKa,-1.04360075999918,17.3
CK1delta,2.45587809985703,18.8
CK1gamma1,-1.50985092278604,19.6
DAPK3,18.4437852594534,20.7
MAP2K4,0.326854795428714,20.8
PDHK1,-18.6677155551257,20.8
CDK5,-0.448946605262186,20.9
MST4,-1.57399059141523,21.7
CaMKIV,3.2246260174543,22.2
NEK2,0.0909449260995001,22.3
HIPK2,11.0849731528422,22.4
ATR,-1.83695643972788,22.9
MAP4K4,-1.20930737252478,24.3
Yes,-0.0202268780095206,25.1
MAPK11,8.76678129937096,25.5
AMPKa1,-9.09215919561571,27.8
PLK1,8.0679315590626,28.8
MOK,3.95211869517524,28.9
CK1gamma3,-0.203301097345371,29.4
MARK1,0.388002393795482,29.8
ARAF,2.21632676080614,30.1
DMPK2,-10.5927133641807,30.3
MAP2K5,0.142092773076121,32.2
TGFbR2,21.322879317462,33.2
HIPK1,-0.229320542751838,33.3
ATM,-16.8661057351985,33.9
CaMKIdelta,-1.05702032281045,34
Fgr,1.24543813904359,34.2
MST3,0.0411954047822319,35.6
ICK,6.34692084953056,36.3
Pim1,2.88408543974056,38.1
MAPK12,10.0572064511512,38.4
MARK4,5.96431943448543,40.2
MAPK7,13.4182663898591,43.7
NEK1,6.6087874885181,45
NEK4,0.682712565787926,45.7
SGK1,12.895983407581,48.4
LKB1,6.47120175351679,49.1
CDK7,20.7209173350442,52.4
MAK,7.23999909792827,55.7
GRK1,6.74702814963822,56.5
ACTR2B,7.6060888966373,57.2
BCKDK,15.0755332865907,58.8
RSK3,26.1806814318495,59.7
NLK,16.6282251234726,61.3
SGK2,1.3030847211344,61.7
MRCKb,3.52806838162448,61.8
PLK2,3.9459440619728,63.3
MAPK14,9.63945609675135,65.4
CDK6,10.4201917449786,65.8
GRK5,11.9398357996827,67.4
CDK1,222.510211630856,67.7
SGK3,2.55140863592774,67.9
CK1alpha,167.43996746665,68.3
GRK4,4.40279458598227,69.1
CK1gamma2,7.5105121409015,69.7
GRK7,8.72978143187107,71.7
TNIK,5.63959083039166,73.6
FRK,2.25021050397381,74.1
MAPK3,210.571557417737,77.3
MAPK13,27.3788175057378,79.4
CaMKIalpha,7.08476029599649,79.6
PKD3,1.9872765803849,81
Tyk2,0.948208869456426,81.9
MARK3,16.8108555819302,83
SLK,0.507196039829194,83.4
GRK3,15.9629814782939,85.4
MAP4K6,0.585580095011041,86
GRK6,14.8416175694724,89.1
CDK4,42.4030775691768,89.9
PKD2,1.60477695997623,91.3
TLK1,5.26134120255303,91.3
CLK2,24.5071877426723,93.7
ACTR2,19.7724306410719,95.2
IKKalpha,65.3075026802972,95.4
CK2alpha,680.151127686191,95.8
CK2a2,180.260946660015,97.4
TLK2,10.0731225410384,97.6
CLK3,23.1767908095262,97.7
IKKbeta,46.2320789096507,97.8
CDK2,227.044834324812,98.5
DAPK1,7.7769588846741,98.6
CLK4,29.0924175922824,99.2
CLK1,122.31942402898,99.4
EIF2AK2,45.8868436740849,99.9
CDK3,51.6844224791409,100
