,rawKAC,permutationScore
FRK,-5.37945662123319,1.6
Abl2,-5.3057790072889,5
BMX,-5.44345750204996,5
BTK,-5.44345750204996,5
ITK,-5.44345750204996,5
Tec,-5.44345750204996,5
TXK,-5.44345750204996,5
Srm,-5.39790628406555,5.4
BLK,-6.30116036980723,5.5
Brk,-5.32675508720077,5.5
Fyn,-6.30116036980723,5.5
HCK,-6.30116036980723,5.5
Lck,-6.30116036980723,5.5
Lyn,-6.30116036980723,5.5
Yes,-6.30116036980723,5.5
Fgr,-7.58822560713151,5.9
PKAbeta,-4.52849527010225,10.8
MAPKAPK3,-1.10280317702508,14.8
MAPKAPK5,-1.1418496313581,14.8
PKD1,-15.0794344981492,15.8
PKCgamma,-4.79766838115514,20.1
AuroraB,-1.32097807745176,21.3
PKAgamma,-3.57778927764367,24.1
RSK2,-6.63624625505374,27.1
PAK5,-1.93634272819215,30.7
PAK6,-1.92689863575641,30.8
PLK2,-0.783233060456082,31.4
CK1epsilon,-1.08539999198852,34.1
CDK4,-8.47220921251633,34.4
PKCeta,-0.696775322097373,34.8
PLK1,-17.0242745088366,35.2
NEK1,-6.58161224422311,37.6
CaMKIV,-2.85845767223058,37.9
DAPK3,-5.06643664187224,39.3
PAK3,-4.58936293321924,40.3
Pim3,-0.783829875879158,42.2
MAP2K4,-0.270057253691414,43.8
PKCepsilon,-0.980438404576086,44.5
AuroraA,-6.13488476088743,44.7
MAPK8,-5.37706607423955,45.3
Pim1,-0.693501497787613,45.5
GSK3beta,-3.7218175156721,47.2
HIPK1,0.0256595589475385,47.4
Src,-0.114211740584881,48.6
MAP2K1,-2.80689439717003,49
MAP2K6,-0.237876706048195,49.7
GRK3,-0.697320584033325,49.9
PKG2cGKII,-1.14265728381143,50.3
CK1gamma1,0.0712466004508857,50.9
RSK3,-1.10742824717324,51.1
CK1delta,-1.8279903255903,53.5
CDK6,0.523710599101111,53.8
GRK6,-0.179492402473664,54.4
GRK5,-0.132662561530746,54.9
NEK2,-0.187023292851497,56.2
PKAalpha,-4.32187841711731,58.1
NLK,-0.817087835071647,60.2
CaMKIIbeta,0.0484018067391981,61.3
PKBalpha,-2.09594023543569,62
PKCtheta,0.958703153287009,62.1
PDHK4,0.261870583561624,63.4
CDK7,1.00109818697846,64.2
DMPK1,0.275237667474157,65.2
ATM,2.6963862663347,67.4
GRK7,0.212140869882589,68.6
CaMKIdelta,1.2603700652255,69.3
DAPK1,0.280765289527175,69.3
CaMKIIdelta,0.764915348835414,69.5
ATR,2.99917954862479,69.6
CK1gamma2,0.432137479690548,69.7
EphA2,2.53600526645996,69.9
PAK4,1.26014277610505,71.3
PKBgamma,0.487306136837277,71.3
SGK1,0.809628960550598,71.7
PKBbeta,0.578370610233552,72.3
MAP2K3,1.04096947535955,74.2
MAPK1,2.19966841011409,74.4
MRCKa,1.97111194515351,74.7
SGK3,0.461526600684046,75
GSK3alpha,3.77374489126532,76.3
PAK2,6.17083323874892,76.6
TTK,0.903455786889118,77.7
MAP2K2,0.695387603217733,78.2
ACTR2B,1.14427802542561,78.7
GRK2,10.3472239595171,78.9
RAF1,7.58447140643564,80.5
PKCiota,2.31248392652286,80.6
PKCzeta,1.93611381249873,80.7
PKCalpha,1.55026315070836,81.7
PAK1,-7.10157426047175,82.2
CaMKIIgamma,2.81631549074078,82.3
HIPK2,19.2042588008205,82.3
PKCbeta,1.43555585371226,83.1
MAPK7,4.40377391347958,83.5
PKG1cGKI,5.08050770175091,83.7
CDK5,5.10396730644911,84.8
CDK1,42.9843377340261,86.3
ROCK2,8.34540158995719,87.5
GRK1,4.56846426501562,88.1
CLK2,2.28444201114233,89.2
CLK3,2.29105924918576,89.4
TNIK,1.1831784451551,89.7
CaMKIIalpha,2.98078362433292,90
ROCK1,5.69095377753019,90.3
MAPK12,5.82829055462546,90.5
MAPK14,0.661780641049898,90.7
DNAPK,22.0290828479894,91.3
PKCdelta,5.17709703036958,91.4
ACTR2,3.69345809956931,91.5
PKD2,3.81426186343718,91.7
PLK4,2.70788558830123,91.9
MARK4,14.7167526911867,92
EIF2AK2,16.3639467558112,92.1
GRK4,8.71340771231494,93.1
CLK4,3.08708274708164,93.3
ICK,4.0496485734254,93.4
MOK,2.66893151299447,93.7
MAP2K5,4.87093685631267,94.2
PDHK1,7.32336244972757,94.2
MAK,2.76881774288783,94.3
MAP2K7,8.34418293476152,94.8
MAPK13,3.22561675138845,95
ARAF,3.44717355838799,96.3
CK1alpha,6.38431781889372,96.6
MAPK3,22.8096310470155,96.8
CDK2,10.0182070657858,97.2
CK2alpha,54.2067565052972,98.4
CDK3,6.55136013436847,98.6
CLK1,8.56434846104451,98.9
MAPK11,9.56857589161008,99.2
TGFbR2,14.6378899861903,99.8
CK2a2,40.9528464697206,100
