,rawKAC,permutationScore
PAK1,-256.485583379904,0.1
Met,-22.4946004082217,0.3
PKAalpha,-113.893632221464,0.3
MAPK1,-261.396951584588,0.7
PKBalpha,-336.881503472758,0.7
p70S6K,-108.013811747654,1
PKBgamma,-41.9257390676641,1.2
MAP2K1,-212.101931312607,1.3
IGF1R,-7.37562568116915,1.5
InsR,-19.1856602603045,1.8
NRK,-2.37311084455659,1.9
DAPK2,-1.49297115476284,2.1
MAP2K2,-135.730911939366,2.1
PAK3,-70.6143692876962,2.6
EphB4,-3.14330898184497,2.7
EphA1,-3.18586849665498,2.9
Src,-13.2582101755645,3
EphA5,-2.48788652202875,3.2
EphA6,-2.49464020108414,3.2
EphA7,-2.48155494791432,3.2
EphB1,-3.82150315507021,3.2
PKD1,-74.2466359318067,3.2
PKBbeta,-95.3616568842065,3.4
RAF1,-149.64781123011,3.5
RSK2,-40.3812382239236,3.6
MAPK8,-74.2179060251131,3.9
EphA4,-3.074391402763,4.2
PAK2,-142.198319126955,4.6
p70S6Kb,-33.0897688069402,4.7
ErbB2,-42.569213761208,5.1
EphA3,-2.38976277992147,5.3
PKCdelta,-60.8202698989651,5.4
PAK6,-26.5621612856974,5.7
Lck,-13.9413810675979,5.8
PKCalpha,-93.924160173229,5.8
ARAF,-44.2369143291304,5.9
EphB2,-3.19989928296818,6.1
PAK5,-26.0575933012453,6.1
EGFR,-26.7707491220071,6.3
Abl,-2.54112729357822,6.7
TNIK,-11.035103173855,7.7
Pim3,-7.76913859438815,7.8
Fyn,-11.6221790453446,7.9
SLK,-0.834980680141668,7.9
EphB3,-2.63102124511229,8.1
BMX,-9.27041985090925,8.9
Brk,-9.34190184373723,8.9
ITK,-9.27041985090925,8.9
Srm,-9.22429447910523,8.9
Tec,-9.27041985090925,8.9
TXK,-9.27041985090925,8.9
Abl2,-8.93128373143496,9.2
HCK,-10.6930933592056,9.3
MAPK3,-212.980756707011,9.7
PKCepsilon,-62.655155369847,9.9
Lyn,-10.2887229290902,10.3
BLK,-9.83860919565637,10.8
CaMKIIgamma,-32.2290965397859,10.8
MST2,-2.51734378625611,11.1
PKCbeta,-77.0288559715106,11.3
BTK,-8.09231005916636,12.1
CK1alpha2,-9.76092927535642,12.4
PKAgamma,-42.5862453032981,13.5
MAPK10,-33.2291314431581,13.8
EphA2,-6.19726154517362,13.9
MAPKAPK5,-44.0622169422429,13.9
PKCgamma,-65.1227454434825,14.2
CaMKIV,-29.3200607279288,14.3
PDHK2,-20.4046388261878,14.3
PKAbeta,-34.9459223411877,14.7
PDHK3,-14.9666081047805,15.2
PKCzeta,-50.0834137940764,15.6
Yes,-7.92942463241334,15.6
