,rawKAC,permutationScore
CaMKIIalpha,-99.4889489538843,0
EphA5,-2.48788652202875,0
EphA6,-2.49464020108414,0
EphA7,-2.48155494791432,0
MAP2K1,-198.764606333454,0
MAPK1,-193.255398755579,0
Met,-22.4946004082217,0
p70S6K,-108.013811747654,0
PAK1,-238.525602839394,0
PKAalpha,-111.881828143407,0
PKBalpha,-333.135322667167,0
PKBgamma,-41.2692499907212,0
PKCalpha,-87.2335880616031,0
PKCbeta,-65.8230147439981,0
PKCdelta,-63.5019977166397,0
Src,-12.6844768125801,0
DAPK2,-1.49297115476284,0.1
EphA1,-3.18586849665498,0.1
EphA4,-3.074391402763,0.1
EphB4,-3.14330898184497,0.1
IGF1R,-7.37562568116915,0.1
MAP2K2,-134.807251818135,0.1
NRK,-2.37311084455659,0.1
PAK3,-68.0797134857174,0.1
RAF1,-137.390728024541,0.2
EphB1,-3.82150315507021,0.3
InsR,-19.1856602603045,0.3
PKBbeta,-94.7296149470847,0.3
PKCzeta,-51.6879424623824,0.3
EphB2,-3.19989928296818,0.4
PAK2,-144.373805170527,0.4
PAK6,-24.9470805497511,0.4
RSK2,-38.8556986649686,0.4
EphA3,-2.38976277992147,0.5
EphA2,-3.09516241384473,0.6
MAPK8,-66.601656098384,0.6
PKD1,-66.0717226274516,0.6
PAK5,-24.4358969567348,0.8
ROCK1,-37.0479942934636,0.8
EphB3,-2.63102124511229,1
MAPK3,-143.054906645837,1
PKCepsilon,-61.0491000385937,1.2
ARAF,-45.3630390965592,1.6
ErbB2,-42.569213761208,1.8
p70S6Kb,-33.0897688069402,1.9
PKCgamma,-64.4185437633976,2
PKG2cGKII,-22.3699272265737,2.1
PAK4,-36.1245593150087,2.2
Pim3,-5.73534435820841,2.2
CLK2,-12.3281355528228,2.3
TTK,-41.8092189348092,2.4
Abl,-2.54112729357822,2.6
EGFR,-26.7707491220071,2.7
CaMKIIgamma,-32.8907209671301,2.9
PKAbeta,-33.6694918473719,3.4
CaMKIV,-25.3086234146112,3.6
MST2,-2.51734378625611,3.9
PKAgamma,-41.7917278217299,4
TGFbR2,-36.4562000689696,4.3
SLK,-0.834980680141668,4.4
CK1alpha2,-9.76092927535642,4.6
TNIK,-10.3655640999139,4.6
GRK2,-42.9728854012685,7.3
MAPK10,-33.2291314431581,7.7
CDK5,-62.4386108005184,7.8
CLK3,-7.78560672481215,7.8
CK1epsilon,-19.0763948514023,8
AuroraB,-32.2139024433789,8.1
PDHK2,-20.4046388261878,8.2
MAPKAPK5,-43.3327616850196,8.4
PKCtheta,-33.5995673606419,9.6
MAPKAPK3,-14.6608541138735,9.9
DMPK1,-30.2507319736495,10.2
MAPK9,-18.4271056751865,10.4
CK1delta,-32.4115809988937,10.5
PDHK3,-14.9666081047805,10.6
PKG1cGKI,-15.7852134633631,10.6
CLK4,-7.4435478597866,10.7
CDK6,-11.9610530751919,11.4
NEK1,-18.9644928186729,11.9
PDHK4,-13.2929027614516,12
PDHK1,-72.2112607168288,12.1
ROCK2,-41.2685091767689,12.1
Chak2,-8.50989529791889,12.2
MAP2K3,-10.665322104069,13
Lck,-6.05811752084961,13.3
PKCeta,-22.8748188813074,13.8
CaMKIIdelta,-15.9617694301589,14.1
MAP4K4,-3.95161260987024,14.1
AuroraA,-43.5308301338242,14.4
CaMKIIbeta,-19.4549167769533,15.2
SGK3,-3.3029031825586,15.5
AMPKa2,-30.1096849556221,16.6
DNAPK,-45.4566774103113,17.6
ErbB3,-22.1685917956275,18.4
Kit,-0.476938809795486,18.4
PDGFRalpha,-0.480378048922836,18.4
PKD2,-1.13497124371296,20.1
AuroraC,-1.57186635419041,23.8
Fyn,-3.73891549859631,24.3
MOK,-4.75978064974225,24.4
MAP2K7,-3.56146325652058,25.4
TLK2,-3.31861368662512,25.7
Pim1,-4.55026276292398,26.2
MST3,-1.77715347757223,27.3
CK1gamma3,-1.9546202251933,27.7
ICK,-4.2890729959227,27.7
PKD3,-1.07166040280877,27.9
RSK3,-11.9542946072146,28.9
Brk,-2.58206953383711,29
ErbB4,-4.86961240397314,29
Srm,-2.47438723930984,29.6
BMX,-2.45884195853063,29.9
ITK,-2.45884195853063,29.9
Tec,-2.45884195853063,29.9
TXK,-2.45884195853063,29.9
MRCKa,-5.01202302924413,30
HCK,-2.80982981245724,30.4
Abl2,-2.31491664404083,30.9
SGK2,-1.19413739581912,31.6
PLK4,-6.36409918852385,32.4
Lyn,-2.40545938234194,32.8
GRK6,-3.08126571879162,33
LKB1,-7.05535450210205,34.5
AMPKa1,-15.2057708096349,35.1
MARK4,-5.68003056314539,36.1
BLK,-1.95534564890805,36.3
MAP2K4,-3.1818312006576,37.6
CLK1,-4.20143188606717,39.3
MAPK12,-4.71635723046864,39.3
BTK,-1.28073216678775,39.6
GSK3beta,-8.84522867451586,41.5
MAK,-1.56211029555886,41.5
CaMKIdelta,-3.10564254157552,44.1
GRK4,-0.499550775083498,44.8
MAPK14,-0.418033673219166,45.8
Yes,-0.046161085665029,49.4
MRCKb,-0.171438976119954,50.2
MAPK11,2.33039935133238,50.5
Pim2,0.161082795110453,50.7
BCKDK,0.832601960441592,50.9
CDK7,2.96737908063313,52.1
YSK1,0.0753135932303444,52.8
MAPK13,2.36794579183585,54.3
NEK2,3.56262573925932,54.3
Fgr,0.997440119732886,56.9
MARK1,4.21335465505669,58.2
GRK5,3.21730187097663,58.9
PKCiota,11.1896807971018,59.3
GRK7,3.17648122289318,62.4
DAPK3,7.12426747673993,62.6
ATR,2.37425704418447,62.9
GRK3,4.00710096289013,63.4
PLK1,37.3864386583224,64.3
Tyk2,0.352204830500351,65.4
CK1gamma2,3.23290319455035,67
GSK3alpha,13.8906282383868,67.3
GRK1,6.01840197889797,69.2
TLK1,1.68353299233022,69.4
MST4,1.40024580398585,69.5
CaMKIalpha,3.51087909956489,70.1
NLK,8.15943111362808,71
MAP2K5,4.01354964508108,72.9
IKKalpha,18.4784335040592,74.1
CDK1,93.1165316526208,75.1
NEK4,2.50559449904517,75.3
MAP4K6,0.330596546484747,75.5
PLK2,3.79984250732629,75.8
CK1gamma1,5.38177635524457,76.6
