,rawKAC,permutationScore
FRK,-5.6068653860294,4.8
Abl2,-6.61636708739413,4.9
Srm,-6.74990723979539,5
BMX,-6.81157789237862,5.1
BTK,-6.81157789237862,5.1
ITK,-6.81157789237862,5.1
Tec,-6.81157789237862,5.1
TXK,-6.81157789237862,5.1
BLK,-7.88326354674831,5.2
Fyn,-7.88326354674831,5.2
HCK,-7.88326354674831,5.2
Lck,-7.88326354674831,5.2
Lyn,-7.88326354674831,5.2
Yes,-7.88326354674831,5.2
Brk,-6.75983230990012,5.3
Fgr,-9.51297045915208,5.6
MAPK1,-68.1415528290088,19.3
MAPKAPK3,-0.704510955796101,20.3
MAPKAPK5,-0.729455257223317,20.3
PKCeta,-1.65067214128835,20.5
CDK4,-18.2962897114683,24.4
CK1epsilon,-2.29190506606624,26.1
MAP2K2,-0.923660121231295,27.3
PLK2,-0.971442137801087,33.3
PKD1,-8.17491330435509,36.2
AuroraA,-19.3230898956047,38.2
MAP2K1,-13.3373249791529,39.5
GRK3,-3.52146079700393,43.9
EphA2,-3.10209913132889,44.5
GRK6,-3.69239407842838,45
GRK5,-3.70785244602215,45.5
NEK2,-4.23909176209628,45.9
TNIK,-0.669539073941127,46.6
Pim3,-2.03379423617974,47
Src,-0.573733362984431,49.3
MAP2K4,-0.494321319124463,49.4
CK1gamma2,-0.431190207805355,50.1
RAF1,-12.2570832055694,50.3
CaMKIV,-4.01143731331761,51
SGK1,-2.43322899791587,51.3
PAK5,-1.62169634451056,52.7
PAK6,-1.61508073594625,52.7
PKCepsilon,-1.60605533125332,52.8
NLK,-4.4863640589739,54.1
AuroraB,-0.297137679660206,57
MAPK13,-2.38893959657604,57.2
DAPK3,-7.47488767412704,58.5
PKCtheta,-3.36388581474777,58.6
Pim1,-0.893128446355664,59.1
PKG2cGKII,-2.00324344891745,62.1
MAPK8,-7.61624992672912,64.3
DNAPK,-9.08968114104238,65.3
CDK7,-0.610204969095011,65.6
CDK5,-3.67694369643633,65.7
GSK3beta,-6.54202638441885,65.7
CaMKIdelta,-0.314351816801912,65.9
DAPK1,-0.0700263210726059,65.9
CK1gamma1,-0.0760928066568565,66.5
ACTR2,-1.90994686372242,66.9
PAK3,-2.53465580197883,68.2
CK1delta,-3.62227316623785,69.3
NEK1,-1.84747850126666,69.3
GRK2,-8.77328383741047,70.1
RSK2,-1.52553955895508,70.3
PKAbeta,-1.2764304938159,70.5
MAPK3,-69.9258500611736,72.3
CDK6,-0.756275303969492,72.6
RSK3,0.229804130860933,73.5
HIPK1,0.876578461856086,75.2
PKCgamma,-0.704201680084916,75.3
CaMKIIbeta,-1.97546179081374,75.5
ACTR2B,0.0677004325248419,77.1
SGK3,0.238123484651799,77.8
GRK4,1.72955670490144,78
MAP2K6,0.550179399893184,78.9
EIF2AK2,3.34961064692003,79.7
ATR,1.668549368489,79.8
PLK1,10.429823926908,79.8
ATM,2.36655665537691,79.9
PKBbeta,-0.632041937121784,80.1
CDK1,-26.3790081749055,80.3
PKBgamma,-0.656489076942923,80.5
PKAgamma,-0.794517481568246,80.6
PDHK4,0.269980275486994,82.4
MAPK12,0.0491929378898164,82.5
PKBalpha,-3.7461808055906,83.5
MAPK7,2.79574633690188,83.6
CaMKIIgamma,0.661624427344272,85.5
TTK,0.715128922096478,85.5
DMPK1,0.537224967034362,85.7
PAK2,2.17548604357162,85.8
MARK4,-1.40937445492391,86.5
MOK,0.377305323114845,87.6
MAP2K3,1.36524374409849,87.8
GRK7,0.428963414905041,88.3
MAK,0.226855439531089,88.4
GRK1,4.78041843406048,88.5
MAPK11,-5.12113408607826,88.6
PAK4,1.70106721598809,89.1
PKCalpha,-6.6905721116259,89.3
PKCiota,1.61738440619167,89.4
PKD2,2.74306637921136,89.4
MAPK14,0.776972301236632,90.2
ICK,0.751956324169081,90.7
GSK3alpha,5.11806843326425,91.6
PKCbeta,-11.2058412275124,91.6
ARAF,1.12612476742881,92.2
CLK2,0.527589838229347,92.8
CLK3,0.535190294560259,92.9
MAP2K5,3.85359301396545,93.4
CLK4,0.734040720784303,93.8
CDK2,0.454041379286192,93.9
HIPK2,20.5692096054783,93.9
MAP2K7,5.51045123635576,93.9
PKAalpha,-2.01180407805656,93.9
CaMKIIdelta,1.87532634865328,94.9
PKCzeta,1.60452866830603,96.2
CDK3,-4.12118445611729,96.5
PDHK1,6.59406398342098,97.4
PLK4,2.85345649749952,98.3
PKCdelta,2.6817278176746,98.7
CLK1,3.83699142965905,98.8
CK1alpha,-22.4015036946581,98.9
PKG1cGKI,10.3117060185928,99.2
MRCKa,9.64643990197767,99.3
TGFbR2,4.73392349508992,99.3
PAK1,-17.9599805405099,99.4
ROCK2,15.2384309065162,99.4
ROCK1,10.2969943785986,99.8
CaMKIIalpha,0.767429164483635,99.9
CK2a2,32.4226329689171,100
CK2alpha,58.9879279587631,100
