,rawKAC,permutationScore
CDK3,-60.1878337461059,0
CLK1,-143.492459714985,0
CLK2,-37.7208506094812,0
CLK3,-33.047741370732,0
CLK4,-40.2441235766799,0
MAPK1,-308.712423633483,0
MAPK3,-493.878548409276,0
TLK2,-13.4802971699217,0
DAPK1,-6.87537628459782,0.2
EIF2AK2,-40.9391225150344,0.4
CDK2,-214.846796688915,0.6
IKKalpha,-69.1723518952378,0.9
NRK,-1.2261748144267,0.9
GRK6,-19.9491097528765,1.8
MAP2K2,-78.0159971257757,2.1
ARAF,-42.2690465781073,3.1
RSK3,-53.8101260495924,3.5
TNIK,-9.566291585445,3.9
SGK3,-5.2416184577221,4.1
PKD3,-2.36570472499761,6.5
SLK,-0.604365325275527,7.1
GRK4,-9.7622865532244,7.8
ACTR2,-16.0375545051761,7.9
Pim3,-5.53393932107722,8.7
RAF1,-106.029835463881,9.9
TLK1,-3.98591625200087,12.2
MAPK13,-31.0669531859943,13
Pim1,-10.6951359205247,14.8
GRK3,-14.0393682096097,15.4
LKB1,-19.4002642581692,15.4
CDK5,-74.9574366191407,15.5
TGFbR2,-51.6876705528589,16.7
ICK,-17.0545459081162,17
p70S6K,-34.7896792709846,17
SGK2,-2.37946521537794,17.8
Tyk2,-0.856806602618312,18
IKKbeta,-24.9928951357038,18.5
CDK1,-284.915784949821,20.7
MAP2K1,-65.8129675971101,21.5
MOK,-13.270576525336,21.9
MAP4K4,-3.0656141778347,22.5
MAK,-11.7401920096932,22.8
CDK7,-34.1050743791855,23.4
NEK1,-19.3163162781653,25.4
CDK6,-14.5141979751934,25.7
CK1gamma2,-7.52775288625069,26.5
BCKDK,-19.9455255758181,27.9
CaMKIV,-22.8202265785276,28.1
EphA2,-3.57483827146063,28.4
MAPK12,-26.1738650182395,30.4
PDHK1,-55.0702833345547,31
GRK5,-11.3604968166217,31.1
MAP4K6,-0.350025859668905,31.3
MST3,-2.03634580802282,31.6
RSK2,-19.3713171078572,32.6
PAK4,-24.6387753489677,32.9
MARK4,-22.4993524372792,33.5
MAP2K3,-8.71987836016869,33.7
AuroraB,-21.0604157505165,34.8
CaMKIalpha,-3.93415255122186,35.4
PDHK4,-8.2344880381814,35.4
MRCKb,-4.03524671302537,35.6
PKCtheta,-33.5269882847541,36.5
PAK2,-57.8778274478472,37.4
PDHK3,-6.80776779623479,38.3
PKAalpha,-45.0384125998122,38.3
EphA5,-0.391411622685886,38.5
EphA6,-0.392474158478722,38.5
EphA7,-0.390415495380103,38.5
PDHK2,-8.88853950448858,39
PAK5,-10.8794945052446,39.2
GRK7,-4.97373512999073,40
p70S6Kb,-8.06350888826935,40.3
Met,-2.8274298729866,40.6
CK1delta,-32.1974932940862,41.1
MAPK14,-8.66173497587213,41.4
PKBalpha,-122.066598477383,42.4
AMPKa1,-16.6198901803295,45.2
InsR,-2.05384012234806,45.3
DAPK2,-0.12908664590754,45.5
AMPKa2,-20.383460320456,49.5
IGF1R,-0.590074973097236,49.7
EphB4,-0.322845135608306,50.3
CaMKIdelta,-5.12464180742876,50.5
EphA1,-0.308663483719813,51.4
GRK2,-39.6237956717906,53.2
MST2,-0.228048009619671,54.5
GRK1,-3.96129696850779,55.5
PKD2,-0.350722981552539,55.7
MAP2K4,-9.72176598096723,56.1
MAP2K5,-3.07625634466047,56.6
PAK6,-7.40162029226903,57
EphB1,-0.205547394666722,57.3
NLK,-13.222031760679,58.8
DNAPK,-33.5236983728081,59.5
MAP2K7,-2.69051080682085,60.6
MAPK9,-4.60730088971744,61.1
GSK3beta,-47.5264343148051,61.5
CK1gamma3,-0.655241123436436,63.4
ErbB2,0.9001227502766,63.4
