,rawKAC,permutationScore
MAPK13,-7.07454524567701,0
MAPK1,-68.9494789721606,0.1
MAPK11,-16.0751608172982,0.5
DNAPK,-33.6864590427863,1.1
MAPK3,-91.339839338296,1.5
ACTR2,-5.20110389468888,5.6
MAPK12,-9.64227405134861,6.1
TNIK,-1.32190971040688,11.3
CDK3,-12.4173541752845,13.1
EIF2AK2,-14.088269662868,13.9
MAP2K2,-0.902842213369873,15.5
CDK2,-11.7090882037752,15.7
CDK5,-8.73170832018254,17.7
ARAF,-2.88567319341242,20.9
TGFbR2,-9.31010689217827,23.6
CLK1,-7.50579352327073,24.1
Pim3,-2.62659323442652,25.1
GRK4,-4.80294911528502,26.7
NEK2,-4.96956631699742,28.3
SGK1,-2.44336403191157,29.4
MAP2K5,-2.47792443973347,30.7
GRK1,-2.76166268664608,31.5
CK1gamma2,-0.652482263371531,32.1
EphA2,-3.95562189688011,32.1
RAF1,-12.6861014325624,32.3
MAK,-2.27585088383548,33.3
MOK,-2.03278518786162,36.1
NLK,-3.91728015100005,37.4
CDK1,-67.2912518814099,37.6
CaMKIdelta,-1.53731134943322,40.4
DAPK1,-0.342457884414927,40.4
GRK2,-17.8447942125141,41
ICK,-3.20863779250443,42.7
CDK7,-1.85754550648465,43
Brk,-1.16006264760595,44.7
CK1epsilon,-0.908794994907405,45.1
MARK4,-12.8103924585079,45.3
BMX,-1.10942671035261,46.9
BTK,-1.10942671035261,46.9
ITK,-1.10942671035261,46.9
MAPK14,-0.291741129706598,46.9
Tec,-1.10942671035261,46.9
TXK,-1.10942671035261,46.9
Abl2,-1.06168464252562,47.4
Srm,-1.08984992506949,47.4
BLK,-1.27135282182031,47.8
Fyn,-1.27135282182031,47.8
HCK,-1.27135282182031,47.8
Lck,-1.27135282182031,47.8
Lyn,-1.27135282182031,47.8
Yes,-1.27135282182031,47.8
MAPK7,-2.51140859719406,48
Fgr,-1.52868712551214,48.2
GRK5,-2.57176107487839,48.5
CLK4,-3.33743851913467,49.1
CDK4,-6.64513593148271,49.6
GRK6,-2.50359234888164,49.7
CaMKIIgamma,-2.54843848939089,51.8
SGK3,-0.197954753710683,52.9
CLK3,-2.76660669104567,53.6
CLK2,-2.76854175328806,53.7
MAP2K7,-2.66686585400421,54.2
PKBgamma,-1.94536887248009,55.4
MAP2K3,-0.609438294574476,56
PKBbeta,-1.99710346829719,56.2
PKCtheta,-2.98517554013186,56.3
PKCeta,-0.346080969653281,57.5
GRK3,-1.74980615803881,57.8
CK1gamma1,-0.136698971275772,58.4
MAP2K1,-5.76161018620117,58.4
PDHK1,-2.45715527128218,61.2
AuroraA,-6.8873647307445,62
TTK,-0.504063182826232,63.3
PKCepsilon,-0.92619233215204,63.6
FRK,-0.287628588304265,64.8
PAK2,-5.9156749435846,65.6
Src,-0.0856078913490449,68.7
ATR,-1.39214085345784,69.6
ACTR2B,-0.523455156496068,71.1
MAP2K4,-0.109768115839504,71.3
CDK6,-1.37666887463852,71.9
PDHK4,-1.20793862898424,72.2
MAP2K6,-0.139959697708799,73.5
CaMKIIbeta,-2.36577051683464,74.8
HIPK1,0.891670354623805,78
CaMKIV,-0.746564953663411,78.4
PLK2,0.202718950491401,79.4
GRK7,0.177059140791682,79.5
PKCdelta,-5.18370629462847,79.6
MAPK8,-3.0638403354086,79.7
CK1delta,-1.51883701102251,80.2
PKG2cGKII,-0.115151879274029,80.3
ATM,0.589128151982098,80.6
RSK3,0.672409165632245,81.9
PKD2,1.3436841973879,82.6
PKBalpha,-4.4716191763193,84.2
DMPK1,-0.412779855721036,85.2
PAK5,0.282088893281421,85.2
PAK6,0.279696773127622,85.2
Pim1,0.170014755316034,86
PKCbeta,-11.2711766418827,87.1
PKCiota,0.331015653733978,87.4
RSK2,0.330553115159748,87.6
PAK4,0.0289407971477669,88
PAK3,2.0698554133612,88.3
GSK3beta,-1.80447325952642,88.6
PKCalpha,-6.06638097927721,89.3
PLK4,-0.0818703153608256,89.4
GSK3alpha,0.585295112955912,89.6
HIPK2,0.1947291984575,89.6
CK1alpha,-26.5562048840901,91.1
MAPKAPK3,0.404030598274204,91.6
MAPKAPK5,0.418335927306002,91.6
PKD1,6.40046931369613,91.6
PKG1cGKI,-0.93982719554643,92.5
NEK1,5.47741396550981,93.2
DAPK3,-1.18378537567477,94
ROCK2,3.26339959629486,94.8
CaMKIIdelta,0.639458971802703,95.7
PKCzeta,-0.281958633463006,96.3
AuroraB,1.31471846129972,98.1
PLK1,30.2041883272645,98.1
PKAalpha,-0.613203695376044,98.5
CK2alpha,9.06225217893515,99.1
ROCK1,0.751652318897454,99.4
MRCKa,6.13283303186665,99.5
PKCgamma,3.64946787229,99.8
PAK1,-10.0334608331526,99.9
PKAgamma,2.65492742806921,99.9
CaMKIIalpha,-2.39020314899174,100
CK2a2,-4.00041508164977,100
PKAbeta,3.30269424461916,100
