,rawKAC,permutationScore
MAP2K1,-445.971752631339,0
MAPK3,-814.096709914379,0
Met,-45.4811598750872,0
IGF1R,-14.7670311776158,0.1
MAP2K2,-310.562050876154,0.1
MAPK1,-706.236219241815,0.1
InsR,-41.8866021308672,0.2
Lck,-34.4326223906057,0.2
Fyn,-31.1829659894186,0.3
EphA1,-6.06245201645591,0.4
EphB4,-5.95649470350608,0.4
Brk,-25.0365574258743,0.7
DAPK2,-2.59915189356183,0.7
BLK,-28.252567332599,0.8
EphA5,-4.52912498123359,0.8
EphA6,-4.54141985732788,0.8
EphA7,-4.51759853489519,0.8
Abl2,-24.0581013509205,0.9
BMX,-24.7325443403255,0.9
HCK,-28.8102790938758,0.9
ITK,-24.7325443403255,0.9
Src,-24.0812776178292,0.9
Srm,-24.6874881288321,0.9
Tec,-24.7325443403255,0.9
TXK,-24.7325443403255,0.9
EphA4,-6.70146213489432,1
p70S6K,-147.652673063848,1
PKAalpha,-166.871269481507,1
NRK,-3.64947303993853,1.1
EphA3,-5.18367575801545,1.4
EphB1,-7.49668119918148,1.4
EphB2,-7.23326560585198,1.4
MAPK13,-101.015667737383,1.4
BTK,-22.9480637595347,1.6
GSK3beta,-275.402289975658,1.7
EphB3,-6.19341309975245,2
Lyn,-26.5349513531789,2.2
Yes,-23.8982743325061,2.3
ErbB2,-90.6436896485519,2.6
EGFR,-62.6839795554384,2.8
MAPK9,-65.6445891455385,3.1
Fgr,-27.2451866675625,3.4
LKB1,-67.2707456157652,4.9
PKD1,-104.221173682477,5
MAPK8,-120.037057952322,5.7
MAP2K3,-35.8739992309569,8.4
AMPKa2,-121.475189816774,9.3
MST2,-4.44169613173595,9.6
GSK3alpha,-115.866516156185,9.8
Pim3,-11.9270242249391,9.9
IKKalpha,-103.441806284807,10
RAF1,-211.698122568169,10.8
Pim1,-25.220792248871,12.2
ErbB3,-50.1441058748689,12.3
Kit,-1.0788087215777,12.3
MAP2K7,-20.6850232511141,12.3
PDGFRalpha,-1.08658808674987,12.3
MAPK10,-64.7525757670056,13.2
PKBalpha,-368.226650906403,13.3
PKBgamma,-45.9785339645099,13.5
TLK1,-8.40890363175318,13.7
AMPKa1,-93.0220598008794,14.1
EIF2AK2,-51.7177920735532,14.7
SLK,-1.02004106831457,14.8
