,rawKAC,permutationScore
MAPK1,-556.10855741805,0
MAPK3,-632.816523795856,0
Met,-45.4811598750872,0
MAP2K1,-435.803307002154,0.1
MAP2K2,-309.012084612564,0.1
Lck,-30.283349706439,0.2
IGF1R,-14.7670311776158,0.3
InsR,-41.8866021308672,0.3
EphA1,-6.06245201645591,0.4
EphA2,-7.00474069752939,0.4
EphA4,-6.70146213489432,0.4
EphB2,-7.23326560585198,0.4
EphB3,-6.19341309975245,0.4
EphB4,-5.95649470350608,0.4
GSK3beta,-270.181866844648,0.4
PKAalpha,-140.0616543622,0.4
Src,-24.477189197701,0.4
EphA3,-5.18367575801545,0.5
Fyn,-27.0336933052519,0.5
Abl2,-20.5507857198138,0.6
BMX,-21.130161880258,0.6
Brk,-21.5067109900442,0.6
CaMKIIalpha,-201.133532853253,0.6
EphA5,-4.52912498123359,0.6
EphA6,-4.54141985732788,0.6
EphA7,-4.51759853489519,0.6
HCK,-24.6610064097091,0.6
ITK,-21.130161880258,0.6
Srm,-21.1272097722468,0.6
Tec,-21.130161880258,0.6
TXK,-21.130161880258,0.6
DAPK2,-2.59915189356183,0.7
NRK,-3.64947303993853,0.7
BLK,-24.1032946484323,0.8
EphB1,-7.49668119918148,0.8
MAPK9,-65.6445891455385,0.8
MAPK13,-91.0059877585226,1.1
BTK,-19.3456812994672,1.3
EGFR,-62.6839795554384,1.3
p70S6K,-147.652673063848,1.3
PKD1,-112.202119724182,1.3
ErbB2,-90.6436896485519,1.4
GSK3alpha,-119.981567094753,1.4
Lyn,-22.3856786690122,1.4
LKB1,-67.2707456157652,1.8
PAK1,-233.837520130218,1.8
Yes,-19.7490016483394,2.1
DNAPK,-182.980559066446,2.3
Fgr,-22.278888911194,2.7
PKBalpha,-366.708148264063,2.8
IKKalpha,-103.441806284807,2.9
MAPK8,-98.2319480076537,2.9
PKBgamma,-45.7387421817547,2.9
MAP2K3,-36.5981657172367,3
Pim3,-10.744154642485,3.3
RAF1,-198.879534673436,3.4
ROCK1,-65.6899650171627,3.4
AMPKa2,-121.475189816774,3.6
CLK4,-27.8220988406724,3.7
RSK2,-48.521678236281,3.9
EIF2AK2,-47.207657265584,4.2
TGFbR2,-92.0444475877531,4.6
Pim1,-24.5213291153959,4.9
PKCdelta,-76.8122417966887,5.2
CLK3,-23.9162077343592,5.3
MST2,-4.44169613173595,6.1
MAPK10,-64.7525757670056,6.8
PKD2,-3.19329720385085,6.8
RSK3,-82.2013631653655,6.8
CDK2,-234.187164822041,7.7
ErbB3,-50.1441058748689,7.8
Kit,-1.0788087215777,7.8
PDGFRalpha,-1.08658808674987,7.8
TLK1,-8.40890363175318,8
CaMKIV,-43.281324027465,8.4
PKBbeta,-87.6141469477753,8.8
AMPKa1,-93.0220598008794,9.8
ErbB4,-18.197036728745,9.9
CDK6,-25.9035443085676,10.1
PKCgamma,-94.2957267550154,10.7
MOK,-21.206123754334,11.4
MAPK14,-21.7884234926452,11.5
MAP2K7,-12.3328753196724,11.7
SLK,-1.02004106831457,11.8
Abl,-2.51891987297227,13.4
p70S6Kb,-32.5375078633703,13.6
TNIK,-11.8906167166387,13.8
GRK2,-81.9116082519972,14
BCKDK,-53.9705511539949,14.3
ARAF,-44.5751294405941,16.5
CK1gamma2,-13.9643302027273,16.7
MAPK12,-42.4438270914718,16.9
CDK4,-51.5421395773999,17.3
CDK7,-50.4796676486392,18.2
PLK4,-29.4640786439297,18.3
PKCtheta,-54.6045486857494,19.3
CK1gamma3,-5.55273295731767,20.1
CDK3,-20.9820460299345,20.4
CK1delta,-50.2928527518299,21.5
CLK2,-18.0461184015045,21.6
PDHK1,-93.8598101176342,21.7
PKAgamma,-43.2597693551259,21.9
SGK3,-4.74374797618735,21.9
DAPK1,-4.869724696501,22.2
TTK,-46.4112243086286,22.5
MAP2K5,-9.95482208231982,23
PKCalpha,-73.0154696547331,23.6
NEK2,-38.2856858417332,24.5
SGK2,-2.83614379205673,25.2
PKAbeta,-31.949747581538,25.9
AuroraC,-2.75831209453381,26.2
IKKbeta,-23.9217635507523,26.4
PKCepsilon,-52.7362342497102,26.7
NEK1,-21.0888904942756,27.3
MRCKb,-7.42829069926086,27.7
ICK,-14.4218393902252,28.1
PDHK2,-18.3598446023532,28.4
PAK2,-74.4182311059694,28.9
PKG1cGKI,-20.4091435560868,30.8
ROCK2,-39.8681903285893,30.8
PKCzeta,-44.2171212482055,31.2
MAP4K6,-0.430739747336488,32
MAP2K4,-18.6660976424453,32.4
PDHK3,-10.6568613456798,34
MAPK11,-50.333650213148,35.9
CK1epsilon,-14.5041738448072,36.5
MAPKAPK5,-25.0015879834488,36.9
PLK2,-4.64749985736044,37.5
CK2alpha,-283.863125972819,38
DMPK1,-18.4399650233914,39.7
MST3,-1.7790564441934,40.9
AuroraB,-19.0113208909117,41
GRK4,-2.84573300996646,41
CaMKIIgamma,-13.2770449825752,42.5
HIPK2,-34.9266803598316,42.9
PAK3,-16.2612483356165,44.3
NEK4,-1.84351135130629,44.6
GRK7,-3.89103599896686,44.9
PDHK4,-4.80711231657402,45.2
CaMKIIbeta,-10.8897582825971,45.8
GRK3,-3.9238437410341,46
MRCKa,-5.75451790243663,50
YSK1,-0.276338513648797,51.2
CDK5,-24.3074185261895,51.8
FRK,-0.408968809085556,51.8
PKCeta,-7.39223213119619,52.1
MAPKAPK3,-1.72381975920565,52.7
Tyk2,-0.117298112082398,55.1
CaMKIIdelta,-4.34034782119242,55.3
GRK5,0.13655978559958,57.1
Chak2,1.48978804457781,58.7
DAPK3,-13.4162155626318,59.1
GRK6,2.65096380602428,59.4
TLK2,0.535421470493914,59.7
PKD3,0.754206160449608,60.5
GRK1,3.70298878637482,60.9
CK1alpha2,0.464778870759736,61.2
MST4,1.19673687341919,61.5
PAK6,-0.303134003396402,61.6
AuroraA,6.02870397265763,61.7
CDK1,-43.9728113627379,61.7
CaMKIalpha,2.72449590519286,62.2
CK2a2,-14.2208664038453,63.6
MAPK7,7.12027824908289,65.2
PAK4,1.66959407677658,66.3
MAK,0.895900809491189,66.9
PKG2cGKII,1.64724534917256,67.9
PAK5,4.61823866434334,69.8
NLK,5.07983951113821,70.7
PKCbeta,-15.542629580871,71.4
CLK1,3.73920450649483,75.8
PLK1,107.769366015101,79.3
SGK1,30.9103656411076,80.4
MARK4,15.868392396821,81.9
ATR,10.2771356086344,83.6
MAP4K4,6.55703452293684,86.4
MARK1,44.536163137542,87.2
PKCiota,50.5206172772815,88.1
MARK3,20.073644401968,88.6
DMPK2,88.2518923597681,89.8
HIPK1,19.6675510458279,89.8
ATM,500.880106613333,90
CK1alpha,28.4752938437192,90.4
CaMKIdelta,39.702879460532,90.6
ACTR2B,10.1882847387187,92.2
Pim2,8.35849937571545,96
ACTR2,23.2167759041259,98.3
MAP2K6,85.2304398972342,99.1
CK1gamma1,29.1203068799012,99.4
