,rawKAC,permutationScore
PAK1,-21.4727537836217,0
PKCalpha,-47.339136045174,0
PKCbeta,-66.3569758579245,0
CaMKIIbeta,-43.2228772669328,0.1
PKG2cGKII,-32.4076016614425,0.2
PAK3,-57.6851130460988,0.3
PAK5,-24.964811229197,0.3
CaMKIIalpha,25.7563270863346,0.4
CaMKIIdelta,-34.3028759798291,0.4
CK1gamma1,-19.5709439045454,0.5
PKCzeta,-10.5336664039281,0.9
MAP4K4,-9.78633429549044,1
PAK6,-19.9817435780084,1
CaMKIIgamma,-38.7384156827849,1.2
MARK1,-55.9981321412863,1.2
Pim2,-6.8152957045928,1.4
PKCdelta,-13.8708053651125,1.4
CaMKIdelta,-46.4402353243541,1.5
MAP2K6,-42.4312960091544,2.2
PKCepsilon,-41.5026936954672,2.2
MARK4,-22.8118457720926,3
DMPK1,-38.4113739235262,3.1
PAK4,-21.6839318959977,3.6
PKBgamma,-11.538444142709,3.8
RSK2,-12.8258062902782,3.8
CLK1,-3.58030085040249,4.4
PAK2,-67.9288818669125,5.3
PKBalpha,-74.4916449407375,5.8
PLK1,-128.534712702455,6.2
PKAalpha,5.81847570364492,6.6
PKBbeta,-36.3953103858152,6.6
ROCK2,-44.0170140111028,6.9
DAPK3,15.5224765759793,7.6
CLK2,4.98649446846939,8.2
Chak2,-10.7224251659711,8.4
PKCiota,-21.198700342389,8.7
CK1alpha2,-5.62709063353655,9.3
ATM,-299.394515475314,10.2
PKCeta,-17.0934651643853,10.7
ACTR2B,-1.7349223669274,11.2
CK1epsilon,-4.7065671111565,12.9
AuroraB,-16.5406315700462,13
MAK,-1.77072069198128,13.2
PKAbeta,-3.73449028278725,14.3
PDHK4,-10.1533692868256,15.2
PKCgamma,0.116702516204496,15.4
NRK,-0.650122980064847,15.8
ACTR2,-0.640882325771295,15.9
CDK5,-12.0960920059029,16.7
PKAgamma,-5.63104627106213,17.5
ARAF,-9.00601832928915,17.7
AuroraA,-5.96103980262527,17.8
TLK2,-3.28651825553111,19.9
CK1alpha,143.676141135652,20.5
MRCKa,1.75830734424792,20.5
MAPKAPK3,-7.99020941780781,21.9
PKD3,-1.37592734215762,22.5
PDHK3,-7.54147385221718,23.2
ATR,-3.51491556998563,23.7
GRK2,19.8237892282194,24.8
PKG1cGKI,8.6360004626197,25.2
