,rawKAC,permutationScore
PKCbeta,-62.0186382330986,0
PAK1,-48.66382250945,0.5
PAK3,-53.1308292700002,0.8
PKCalpha,-44.4819197257601,1
PAK5,-23.7116530015925,1.3
Pim2,-6.8152957045928,1.5
CaMKIIdelta,-31.1360877900415,1.7
CaMKIdelta,-42.3685212560769,1.8
MAP4K4,-9.78633429549044,1.8
PKG2cGKII,-22.7157788835885,1.8
CK1gamma1,-18.4937392385744,1.9
MAP2K6,-42.2842289078582,2.2
PKCzeta,-20.2506621039527,2.3
PAK6,-18.7369589339101,3
CaMKIIgamma,-33.3901687520145,3.2
MARK4,-28.904868249552,3.2
PKCepsilon,-41.1802148255577,3.2
CaMKIIbeta,-27.2941899958359,3.9
MARK1,-55.9981321412863,3.9
DMPK1,-37.8060143896024,4.3
PKCdelta,-18.9777863193333,5.3
PAK4,-27.9700181486631,5.5
ACTR2,-7.28354900516315,7.7
PLK1,-128.535478691793,9.3
Chak2,-10.7224251659711,9.7
CaMKIIalpha,11.363073679501,9.8
ROCK2,-43.2984846229417,9.8
PAK2,-59.8711418854788,10.3
PKBgamma,-10.3996438743459,10.4
CK1alpha2,-5.62709063353655,11
PKBbeta,-35.2087318542285,11.2
CLK1,-8.85117816507129,12.1
PKBalpha,-70.9348283914343,12.8
PKAalpha,-7.032242844945,12.9
ATM,-299.647346382871,13.3
ACTR2B,-3.17302675361692,13.9
PKCiota,-22.0926915080445,14.8
PKCeta,-17.3586258390228,14.9
CDK5,-31.931419691873,15
CK1epsilon,-7.70928568650631,15.4
MAK,-4.97392827623104,15.9
PKG1cGKI,-6.09204079922997,16.1
PDHK4,-11.4544676607815,17.3
CLK2,1.94680896579662,17.6
NRK,-0.650122980064847,17.9
ATR,-5.97358252908411,19.7
AuroraB,-15.4085366063577,19.7
TLK2,-3.28651825553111,21.9
RSK2,-3.80464158487605,22.9
PKCgamma,-3.88110148029145,24
PKD3,-1.37592734215762,24.5
PKAbeta,-3.67445461210368,24.9
PDHK3,-7.54147385221718,26.2
PKAgamma,-6.53923822091008,26.2
ARAF,-8.1879895889645,27.1
MAPKAPK3,-6.62794647680063,28
DMPK2,-19.4609795058945,31.1
AuroraA,-6.17870934884017,31.3
ICK,1.93780552608691,32.6
ROCK1,7.34115905347468,33
GRK6,-2.03222757837533,33.5
PDHK2,-3.9924380458948,34.6
MARK3,-1.52037538291491,34.9
HIPK1,-1.22572472116104,35.9
GRK2,8.70335854354724,37.7
DAPK2,-0.147787159130896,38.2
DAPK3,16.3707984175297,38.3
p70S6Kb,-1.62249122146753,41.8
MAPKAPK5,-0.415108609933309,42.6
MRCKa,3.71938991681359,44.4
p70S6K,5.45386778985623,45.8
TTK,17.0421172122243,47
Abl,0.221287245288174,48.2
SGK1,8.04116721802525,48.5
CK1delta,18.0008557712001,49.1
PKCtheta,18.7568504021749,49.5
MST4,0.407726762002206,49.9
CDK1,128.923760077237,50.2
GRK5,5.10871812000564,50.9
PDHK1,24.7754524937646,51.6
MST3,0.677349084642229,52.1
CaMKIalpha,1.74712159730826,52.3
GRK1,4.47751999696241,53.2
GRK4,2.00765910898112,53.8
YSK1,0.552125478845698,53.8
AuroraC,0.977605159819527,55.4
NEK1,9.22740418300804,55.9
Tyk2,0.402606660408613,57
Pim3,1.70856207161497,57.4
SGK3,1.57115998253375,59.3
PKD1,19.1120295248262,59.4
TNIK,3.34288782157845,60.2
NEK2,20.6779224770556,62.2
BCKDK,18.3937408407717,63.1
CK1alpha,125.08583439152,64
CLK3,10.8878969372198,64
SGK2,1.61617652936178,66.7
GRK7,8.22313041025672,67
CaMKIV,18.2171562263997,67.3
RAF1,70.216284660349,68.2
IGF1R,1.56728767954365,68.5
MAP2K7,5.02304535612675,69
MAP2K3,10.8766354554645,70.5
InsR,5.1294769092362,72.3
MAPK8,34.396622638879,72.8
SLK,0.407420616538135,72.8
MAPK7,39.0165018726089,73.7
PLK4,18.5859262441404,73.8
GRK3,12.1423024487231,74
MAP2K4,20.5593961144458,75
ErbB3,24.005203814311,76.5
Kit,0.516451989447238,76.5
PDGFRalpha,0.52017616087767,76.5
NLK,20.327873129525,76.6
MST2,1.66994527059657,77.5
Pim1,11.2440438717214,77.8
NEK4,4.65355689637769,78
MOK,12.9251208572613,78.7
AMPKa1,48.2630790243118,79.2
MAP2K2,61.3552592480584,80.3
CLK4,16.7916579296275,81.1
CK1gamma3,4.76501305679007,81.4
MRCKb,9.9147235079551,81.5
CDK7,40.4724370828692,82.1
ErbB2,32.3905338204609,82.2
MAPK11,70.8408946477232,82.7
CDK6,17.2250764750114,83
MAPK10,35.8661613746555,83.6
PKD2,1.82284309881785,83.9
TGFbR2,53.5238815646482,84.4
ErbB4,14.0276132726274,84.9
MAP4K6,0.879742483490326,85.3
EGFR,24.0001628818664,86.3
HIPK2,72.5503571277416,87
MAP2K5,11.0579378334428,87.2
PLK2,10.0846829541697,87.2
EphA5,1.30625215556993,88.7
EphA6,1.30979814038315,88.7
EphA7,1.30292779480753,88.7
Met,9.09925810764525,89.1
EphB1,2.68843189781494,89.4
AMPKa2,69.7573020955374,89.5
MAPK12,42.0790725218434,90.1
RSK3,58.3577555893165,90.6
MAP2K1,115.536129185851,90.9
EphA1,2.00461008143631,91.4
EphB4,1.9462811544382,91.5
EphA3,2.12494415830843,92.9
CK1gamma2,16.1725648913424,93.4
Src,8.51323288638631,93.4
FRK,4.78794521511442,94
EphB2,3.20701453198018,95.1
EphB3,2.9014594721459,95.1
DAPK1,6.77441821538003,95.2
EphA2,3.11426600980855,95.3
EphA4,2.82601574423991,95.3
TLK1,8.62514429810065,97.4
MAPK14,28.2571794319839,97.9
CDK3,30.3626930894998,98.1
CK2alpha,801.90111741303,98.1
DNAPK,162.124073069458,98.9
CDK2,269.36880414307,99
CDK4,83.1725105332918,99.2
CK2a2,223.521942084937,99.5
LKB1,55.7309593173343,99.5
Fgr,19.5983404636993,99.6
Yes,16.5702109695838,99.6
BTK,15.5418774579988,99.8
IKKalpha,117.682298450538,99.8
Lyn,17.9276545070988,99.8
Abl2,15.3249416882279,99.9
BLK,18.531036942717,99.9
BMX,15.7029982483253,99.9
Brk,15.9677107506119,99.9
GSK3alpha,121.794885320041,99.9
GSK3beta,217.376148302062,99.9
HCK,18.3747109405895,99.9
ITK,15.7029982483253,99.9
Lck,18.9498827651622,99.9
MAPK1,291.068482978393,99.9
MAPK9,63.2197758885055,99.9
Srm,15.6933045956207,99.9
Tec,15.7029982483253,99.9
TXK,15.7029982483253,99.9
EIF2AK2,73.8366630019957,100
Fyn,19.1622211509731,100
IKKbeta,78.9560858711682,100
MAPK13,89.9272833777944,100
MAPK3,428.833934408944,100
