,rawKAC,permutationScore
PLK2,-2.96233058308334,0
PKG2cGKII,-9.69182277785398,0.1
SGK1,-5.83476475085624,0.1
PKCbeta,-4.3383376248259,0.2
CaMKIIbeta,-15.9286872710969,0.3
CaMKIV,-7.27220358954239,0.5
CK1alpha,18.5903067441324,0.5
PKCalpha,-2.85721631941394,0.6
CaMKIIalpha,14.3932534068336,0.7
CaMKIIdelta,-3.16678818978761,0.9
PAK1,27.1910687258283,1.9
RSK2,-9.02116470540214,2
CaMKIIgamma,-5.34824693077045,2.4
GSK3beta,-2.5599709856259,3.1
CK2alpha,2.49954144504866,3.7
PKD1,-18.1120560323048,3.9
DAPK3,-0.848321841550335,4.2
HIPK2,-15.1307377800873,4.3
PAK2,-8.05773998143366,4.3
PKBgamma,-1.1388002683631,4.6
MAPKAPK3,-1.36226294100718,4.8
MAPKAPK5,-1.41049597009501,4.8
PKBalpha,-3.55681654930317,4.8
PKBbeta,-1.18657853158678,4.8
CK2a2,35.9740805271909,5
DNAPK,-14.2035586975398,5
CDK7,-4.45139165353505,5.4
ARAF,-0.81802874032465,5.5
DMPK1,-0.605359533923791,7.7
CaMKIdelta,-4.07171406827723,7.8
DAPK1,-0.907031998611605,7.8
MRCKa,-1.96108257256567,8.9
CK1gamma1,-1.07720466597105,9.2
AuroraB,-1.13209496368845,9.5
PAK5,-1.25315822760451,9.5
PAK6,-1.24478464409829,9.5
PKAbeta,-0.0600356706835707,10.8
RAF1,-3.34804522321402,10.9
Src,-0.813707874908862,11
NEK1,-5.88505444406437,11.2
MAP2K4,-0.676109085102185,11.6
PAK3,-4.55428377609858,12.2
PKCdelta,5.10698095422082,12.6
CDK4,-11.3911474884737,12.9
EphA2,-4.50840560966846,13.2
GSK3alpha,0.281812928323198,13.8
MAP2K1,-3.42210721862637,14.7
Pim3,-1.43261085108696,15.1
Pim1,-0.39369463851501,16.1
ROCK2,-0.718529388161088,16.6
RSK3,-1.28144307497285,16.8
PKAgamma,0.908191949847946,16.9
Brk,-0.547907628692069,17.5
Fgr,-0.771699786518788,17.8
BLK,-0.602267779592077,17.9
Fyn,-0.602267779592077,17.9
HCK,-0.602267779592077,17.9
Lck,-0.602267779592077,17.9
Lyn,-0.602267779592077,17.9
Yes,-0.602267779592077,17.9
Abl2,-0.478018512221777,18.1
BMX,-0.501508992833311,18.1
BTK,-0.501508992833311,18.1
ITK,-0.501508992833311,18.1
PKCiota,0.893991165655494,18.1
Srm,-0.507375849041922,18.1
Tec,-0.501508992833311,18.1
TXK,-0.501508992833311,18.1
CDK6,-1.56860638369255,18.9
MARK4,6.09302247745941,18.9
PKCepsilon,-0.322478869909509,19.7
GRK5,-0.144072167796348,20.4
GRK6,-0.156254886294633,20.5
HIPK1,-1.10844183123836,20.6
GRK3,-0.290967173148433,21.8
AuroraA,0.217669546214904,21.9
PLK1,0.000765989338309403,22.8
MAP2K6,-0.147067101296185,23.8
ATM,0.252830907556672,24.4
CLK1,5.2708773146688,25.1
PDHK4,1.3010983739559,25.4
CLK4,2.56531074508023,26.1
GRK2,11.1204306846722,27.6
CDK2,6.87880117358191,28.8
TNIK,-0.0164806438801355,29.5
TGFbR2,7.97587124181613,30.9
GRK4,0.551967169264875,32.1
TTK,0.381789937350697,32.2
ATR,2.45866695909848,32.8
FRK,0.340069514711104,34.4
PKCeta,0.265160674637493,34.4
CLK2,3.03968550267276,34.7
CLK3,3.03894658185721,34.7
PKAalpha,12.8507185485899,36
CK1gamma2,0.244223139899365,40
PKD2,0.466741362333191,40.9
ROCK1,15.0604981460334,42.9
MAP2K2,0.284677160770963,46.7
ACTR2B,1.43810438668952,47
CDK3,13.056210729434,47.6
PLK4,2.5702552485617,52.2
MAPK8,11.4579778497056,52.8
MAPK7,3.2802215567065,54
EIF2AK2,10.6814616401933,57
PKCgamma,3.99780399649595,58.1
MOK,2.87530710134198,60
MAP2K3,1.43754247864037,60.3
MAPK3,85.4451148606732,61.1
PAK4,6.28608625266538,61.2
MAK,3.20320758424976,61.6
PKCzeta,9.71699570002465,63.5
PKG1cGKI,14.7280412618497,67.4
SGK3,0.500390433732587,68.7
MAPK14,0.671680327156734,69
NLK,6.34979718859554,72.3
NEK2,7.10812490759221,72.5
ICK,5.92643872012354,73.1
PKCtheta,8.63949825403228,73.3
GRK1,5.65566937255324,74.8
PDHK1,7.95278645913769,76.8
MAP2K5,4.77161457851122,80.1
MAPK12,10.7455955093017,81.4
MAPK1,61.6920079742682,83
MAPK11,16.4650271987706,87.2
ACTR2,6.64266667939185,87.5
MAPK13,5.3777248578504,89.5
CK1epsilon,3.0027185753498,91.8
CK1delta,21.1091538723751,95.7
MAP2K7,12.5929442842319,96.1
CDK1,170.732090740555,96.5
CDK5,19.8353276859701,98.5
GRK7,1.2660553513117,99.4
