"","can_subs","predsubs","perc"
"e15_3",746,3042,0.196937697993664
"e18_3",751,3084,0.195827900912647
"e24_3",749,3076,0.195816993464052
"e96_36",626,2389,0.207628524046435
"e111_45",397,1696,0.189679885332059
"e114_48",408,1409,0.224545954870666
"e186_57",755,3512,0.176939301617061
"e186_60",808,3618,0.182557614098509
"e240_63",363,1381,0.208142201834862
"e243_63",362,1377,0.208165612420932
"e246_63",363,1380,0.208261617900172
"e240_66",322,1183,0.213953488372093
"e252_66",322,1179,0.2145236508994
"e72_72",569,2261,0.201060070671378
"e273_75",682,2763,0.197968069666183
"e276_75",752,3165,0.191983660965024
"e279_75",606,2547,0.192197906755471
"e282_75",862,3492,0.197978870004593
"e285_75",601,2398,0.200400133377793
"e288_75",553,2178,0.202489930428415
"e714_78",460,1753,0.207862629914144
"e318_87",144,711,0.168421052631579
"e324_87",131,684,0.160736196319018
"e318_93",115,553,0.172155688622754
"e363_105",208,887,0.189954337899543
"e366_108",171,830,0.170829170829171
"e369_111",201,693,0.224832214765101
"e372_111",323,1061,0.233381502890173
"e375_111",269,1057,0.202865761689291
"e378_111",159,558,0.221757322175732
"e102_117",992,4390,0.184318097361576
"e105_117",994,4266,0.188973384030418
"e387_117",914,4032,0.18479579458148
"e390_120",853,3236,0.208608461726584
"e399_129",764,3095,0.197978750971754
"e405_132",394,1495,0.20857596611964
"e72_138",551,2331,0.1911866759195
"e81_138",805,3370,0.192814371257485
"e84_138",745,3055,0.196052631578947
"e411_141",110,940,0.104761904761905
"e414_141",111,941,0.105513307984791
"e417_141",109,941,0.103809523809524
"e423_141",109,937,0.104206500956023
"e426_144",682,2801,0.195808211312087
"e429_144",688,2803,0.197078201088513
"e426_153",1056,4700,0.183460736622655
"e429_153",1054,4703,0.183081466041341
"e474_177",177,909,0.162983425414365
"e483_180",533,2204,0.194738765071246
"e483_183",647,2755,0.190182245737801
"e696_222",553,2385,0.188223281143635
"e699_225",280,1140,0.197183098591549
"e702_225",278,1139,0.196189131968948
"e705_225",401,1671,0.193532818532819
"e1288_272",593,2358,0.200948830904778
"e1320_277",690,2884,0.19306099608282
"e1321_277",730,2985,0.19650067294751
"e1322_277",724,3014,0.193686463349385
"e1324_277",729,2984,0.196337193643954
"e1325_277",724,3013,0.193738292748194
"e1326_277",690,2881,0.193223186782414
"e1327_277",730,2983,0.196606517640722
"e1328_277",724,3012,0.193790149892934
"e1329_278",237,1015,0.189297124600639
"e1329_279",227,971,0.189482470784641
